model,dataset,fraction,n_seeds,auroc_mean,auroc_ci_low,auroc_ci_high,auroc_ci_width,ece_mean,ece_ci_low,ece_ci_high,ece_ci_width,brier_mean,brier_ci_low,brier_ci_high,brier_ci_width,f1_mean,f1_ci_low,f1_ci_high,f1_ci_width
CONCH,BRACS,0.1,3,0.8901220875584152,0.8880639198735206,0.8911689506781227,0.0031050308046021158,0.10418972982619656,0.0658231213945181,0.138334369744337,0.0725112483498189,0.08111525513972402,0.0792405311717973,0.08315102164671,0.003910490474912695,0.5001943502331079,0.4172397269973018,0.5486817380234507,0.13144201102614889
CONCH,BRACS,0.25,3,0.8982913777118595,0.8961952491330735,0.901988550774996,0.005793301641922488,0.068494946465246,0.047407905307906305,0.0888543175120442,0.041446412204137896,0.07564497024718907,0.0748195322911633,0.0770749031417404,0.0022553708505771014,0.5527061756817662,0.532550975317044,0.5713995142027983,0.03884853888575435
CONCH,BRACS,0.5,3,0.9016416204694128,0.901250074756223,0.9021903185472856,0.0009402437910626116,0.04718694020530456,0.0416200681081483,0.0523437449809385,0.010723676872790203,0.07328951244588143,0.0730604714506215,0.0734939760717851,0.000433504621163594,0.575975152419239,0.5625092779278164,0.5831375431909349,0.02062826526311856
CONCH,BRACS,1.0,3,0.9046904324226631,0.9046904324226631,0.9046904324226631,0.0,0.02982466603114743,0.0298246660309715,0.0298246660312812,3.0970018216613937e-13,0.07188828892202036,0.0718882889219555,0.0718882889220696,1.1408929356804265e-13,0.5894401916092502,0.5894401916092502,0.5894401916092502,0.0
CONCH,CRC,0.01,3,0.9981102348212882,0.9980747983000736,0.9981300893276351,5.529102756152149e-05,0.18831520537734,0.18683122076039718,0.190440157969937,0.0036089372095398087,0.011851603741274766,0.0117216275345357,0.011994396008604502,0.0002727684740688012,0.9650773706250092,0.9632932988824372,0.9670336613982312,0.0037403625157940157
CONCH,CRC,0.05,3,0.9986960754214381,0.998636178091834,0.9987605756107897,0.00012439751895565454,0.0690202139419633,0.068343192939521,0.0695393518650722,0.001196158925551194,0.0059219512899630665,0.005859955330604999,0.0059968144609699,0.00013685913036490076,0.9729630164172235,0.9726863910669864,0.9732703276508105,0.0005839365838240518
CONCH,CRC,0.1,3,0.9989033131613612,0.9988571737038677,0.9989276861961738,7.051249230605183e-05,0.044968274269259305,0.0433716854678849,0.04705975096880851,0.0036880655009236124,0.004897773362247033,0.0048321732205879,0.0049527696697315,0.00012059644914360051,0.9753202097509316,0.9748626592551072,0.9760109808107448,0.0011483215556375992
CONCH,CRC,0.25,3,0.9991577926897733,0.9991102383580696,0.9991856709798174,7.54326217478063e-05,0.027392735964028997,0.026562305892593497,0.0283195271736851,0.0017572212810916046,0.004006234726213134,0.0039709304963938,0.0040422533860664,7.132288967259988e-05,0.978896850697863,0.9784324422867384,0.9793356402681748,0.0009031979814363433
CONCH,CRC,0.5,3,0.9993179112414285,0.9993130426898261,0.9993211402893264,8.09759950026745e-06,0.0192168323797353,0.0190038314907384,0.0194566682214933,0.00045283673075489916,0.0034855164763579333,0.003468648632235,0.0035127417879154,4.409315568039982e-05,0.981218597685246,0.9810372590234347,0.9813566202581553,0.0003193612347205388
CONCH,CRC,1.0,3,0.9994136787146107,0.9994136787146107,0.9994136787146107,0.0,0.013304782490951466,0.0133047824907428,0.0133047824912948,5.519994183966759e-13,0.0030968063634457667,0.0030968063634132,0.0030968063634866003,7.340048707726865e-14,0.9828761845101571,0.9828761845101571,0.9828761845101571,0.0
