probe,model,dataset,fraction,seed,auroc,f1_macro,ece_fixed,ece_scaled_fixed,temperature,degeneracy_share
linear,CLIP,PCam,0.05,42,0.9015466689161464,0.8167435395697712,0.0586945269291119,0.0295721143565712,1.5873581036734403,0.521942138671875
linear,CLIP,PCam,0.05,123,0.8987788373237962,0.8118521642871075,0.0555071895453465,0.0342287113686907,1.5990763587164707,0.534027099609375
linear,CLIP,PCam,0.05,456,0.9001525160203623,0.8164094116779701,0.0509991203729453,0.0296424909474692,1.6307393829838728,0.521728515625
linear,CLIP,PCam,0.1,42,0.9021394968212968,0.8146947920746532,0.0402896835489388,0.0328050527360819,1.7802800114451065,0.533935546875
linear,CLIP,PCam,0.1,123,0.902617611841347,0.8144831300435262,0.0460424394816782,0.0375107356655289,1.7441313506552991,0.538299560546875
linear,CLIP,PCam,0.1,456,0.9032477932391384,0.8166885425541252,0.0462219135428896,0.0357629504008771,1.6968812476324195,0.53570556640625
linear,CLIP,PCam,0.25,42,0.9123482842187058,0.8257311011629238,0.040256853209044,0.0375904821591562,1.9078878436053484,0.538238525390625
linear,CLIP,PCam,0.25,123,0.9109995537958226,0.8233898832903217,0.0429684998595386,0.0407362465368504,1.9104712769067271,0.54168701171875
linear,CLIP,PCam,0.25,456,0.9119815144207112,0.8247421603896724,0.0405131397455521,0.0383173513067668,1.8876069348053464,0.54119873046875
linear,CLIP,PCam,0.5,42,0.913174818253391,0.8261146189039021,0.0397112636533781,0.0401266372530599,2.0761031623721147,0.545440673828125
linear,CLIP,PCam,0.5,123,0.9141843609326844,0.8269738039753376,0.0397061901383512,0.0392865476408374,1.9947854788724373,0.54327392578125
linear,CLIP,PCam,0.5,456,0.9150283367797304,0.8285499027537903,0.039332733303598,0.0384383082265467,1.9801966908277788,0.544189453125
linear,CLIP,PCam,1.0,42,0.9165845808112788,0.8314118373534156,0.0406349207965251,0.0402332302290896,2.0840287328217446,0.546966552734375
linear,CLIP,PCam,1.0,123,0.9165845808112788,0.8314118373534156,0.0406349207965251,0.0402332302290896,2.0840287328217446,0.546966552734375
linear,CLIP,PCam,1.0,456,0.9165845808112788,0.8314118373534156,0.0406349207965251,0.0402332302290896,2.0840287328217446,0.546966552734375
linear,CLIP,SPIDER-Breast,0.01,42,0.8841062255462238,0.3255208432704198,0.2130844328144416,0.0453948959744799,0.2890782281963479,0.1568057171347847
linear,CLIP,SPIDER-Breast,0.01,123,0.8890382738090281,0.3107024100464446,0.1977718842184363,0.059811784289858,0.2847833969839677,0.1666112680737909
linear,CLIP,SPIDER-Breast,0.01,456,0.8955157756791046,0.3171355812635184,0.2157719060868254,0.0508409077588976,0.2794112309958989,0.1897955791922885
linear,CLIP,SPIDER-Breast,0.05,42,0.9228029607587688,0.4797246710119808,0.2585925478528982,0.0221769116664836,0.4089667147735403,0.1071962772145587
linear,CLIP,SPIDER-Breast,0.05,123,0.925632843922257,0.4726457601464875,0.2491287191640972,0.0352415471153268,0.4006029601981864,0.1049526342030912
linear,CLIP,SPIDER-Breast,0.05,456,0.923876375927319,0.473987729555535,0.2564814199368476,0.0297881089442508,0.3996833859109996,0.1056174173176001
linear,CLIP,SPIDER-Breast,0.1,42,0.9351641359217656,0.5357412175694507,0.2347369068164042,0.0216626125082441,0.4678690674326333,0.1002160545122154
linear,CLIP,SPIDER-Breast,0.1,123,0.9372045253834328,0.5260171851816979,0.2256224652518685,0.0296565798871539,0.4646336015269227,0.102210403855742
linear,CLIP,SPIDER-Breast,0.1,456,0.9359669788247692,0.5346469987681479,0.2331195697396526,0.0260251770127282,0.4626980929981987,0.101794914409174
linear,CLIP,SPIDER-Breast,0.25,42,0.948570944084974,0.5907127649676717,0.1897724216657149,0.022469317038084,0.5350264885916481,0.1108525843443576
linear,CLIP,SPIDER-Breast,0.25,123,0.9497187515212164,0.5819836938707758,0.1830374962793974,0.0295598096213779,0.5306751643696638,0.1111018780122984
linear,CLIP,SPIDER-Breast,0.25,456,0.9489491043155336,0.5839590730493898,0.1877707612630298,0.0296983478511576,0.5233403889319466,0.1093568223367126
linear,CLIP,SPIDER-Breast,0.5,42,0.9567660875527312,0.6209930999258982,0.1572067006852019,0.0296172593115212,0.5697006602102471,0.1170018281535649
linear,CLIP,SPIDER-Breast,0.5,123,0.9577083434147128,0.6190188637353119,0.1559191262069669,0.03006645085398,0.567272077385959,0.1157553598138607
linear,CLIP,SPIDER-Breast,0.5,456,0.9571903094113512,0.6174415731666668,0.1552816204647376,0.0289301433444066,0.567669473109248,0.1158384577031743
linear,CLIP,SPIDER-Breast,1.0,42,0.964099551574733,0.6470589322241724,0.1268344182114173,0.0292889892167614,0.6051623693708602,0.1201595479474821
linear,CLIP,SPIDER-Breast,1.0,123,0.964099551574733,0.6470589322241724,0.1268344182114173,0.0292889892167614,0.6051623693708602,0.1201595479474821
linear,CLIP,SPIDER-Breast,1.0,456,0.964099551574733,0.6470589322241724,0.1268344182114173,0.0292889892167614,0.6051623693708602,0.1201595479474821
linear,CONCH,BRACS,0.01,42,0.8033214267138716,0.3476986786526897,0.1530331596527814,0.1010439984981,0.6757499517298741,0.4491228070175438
linear,CONCH,BRACS,0.01,123,0.8452553595339873,0.3633002658518229,0.1863040374500479,0.0974350112688704,0.5842687082227367,0.3385964912280702
linear,CONCH,BRACS,0.01,456,0.8200433167586257,0.3545900817001385,0.1456016911013127,0.0726382079708282,0.6091304097549999,0.3982456140350877
linear,CONCH,BRACS,0.05,42,0.8647321338652988,0.4613593303550526,0.1361369440787549,0.0701970900299961,0.574068296228411,0.2912280701754386
linear,CONCH,BRACS,0.05,123,0.8809443074743407,0.4823123735008057,0.1525765850841999,0.0387143508358672,0.5879903807528017,0.2824561403508772
linear,CONCH,BRACS,0.05,456,0.8743897752619539,0.4500465461334943,0.103663135948065,0.0784556671012185,0.5888095186672397,0.2789473684210526
linear,CONCH,BRACS,0.1,42,0.888240942088376,0.5332136147891013,0.1139840724786782,0.0450804306497315,0.6281242976513841,0.2543859649122807
linear,CONCH,BRACS,0.1,123,0.8829577502710163,0.5374222280805405,0.1223495609658135,0.026773155343554,0.635266180865907,0.2333333333333333
linear,CONCH,BRACS,0.1,456,0.8850694589589037,0.472322137268285,0.0943644122001207,0.1025427180803224,0.6524143592563707,0.2719298245614035
linear,CONCH,BRACS,0.25,42,0.8973551986095051,0.557266497123248,0.0708776411327078,0.0522871618809931,0.7741653571747895,0.2228070175438596
linear,CONCH,BRACS,0.25,123,0.8959270217333316,0.5797504476650968,0.0849657189711783,0.0285243983855666,0.7956790564505913,0.2157894736842105
linear,CONCH,BRACS,0.25,456,0.8932405806816285,0.5576345058693294,0.065434084588325,0.0446861362338263,0.7675518376338836,0.2210526315789473
linear,CONCH,BRACS,0.5,42,0.9003986012790619,0.5667558152581559,0.0566579432905692,0.068777034408499,0.8779283023450953,0.2070175438596491
linear,CONCH,BRACS,0.5,123,0.9017131434509736,0.5857603269683659,0.0646861679436531,0.074527303284315,0.8737612825308602,0.2087719298245614
linear,CONCH,BRACS,0.5,456,0.9019833589190888,0.5664635585476108,0.0593979122687277,0.0355496785359754,0.8754502128303279,0.2175438596491228
linear,CONCH,BRACS,1.0,42,0.9046904324226632,0.5894401916092502,0.0298246660233517,0.0246887749906193,0.9660312810575375,0.1982456140350877
linear,CONCH,BRACS,1.0,123,0.9046904324226632,0.5894401916092502,0.0298246660233517,0.0246887749906193,0.9660312810575375,0.1982456140350877
linear,CONCH,BRACS,1.0,456,0.9046904324226632,0.5894401916092502,0.0298246660233517,0.0246887749906193,0.9660312810575375,0.1982456140350877
linear,CONCH,CRC,0.01,42,0.998046966323874,0.9635652972519236,0.1876892464003478,0.0048200474770209,0.4285963923684373,0.1424
linear,CONCH,CRC,0.01,123,0.9981143801528888,0.9648116316104997,0.1923369472943369,0.0021496793124593,0.4241170365067204,0.1445333333333333
linear,CONCH,CRC,0.01,456,0.9982086456804576,0.966475915727171,0.194207747193381,0.0050847451585679,0.4226285260643929,0.1408
linear,CONCH,CRC,0.05,42,0.998775539953741,0.9740771082692444,0.0714689098784807,0.003441348488942,0.5805848707372245,0.1404666666666666
linear,CONCH,CRC,0.05,123,0.9986966820758444,0.973664048936588,0.0708697128042694,0.0034142283692971,0.5906302149012036,0.1398666666666666
