design,model,pair,ece_lo,ece_hi,ece_delta,ece_slope,rises,auroc_lo,auroc_hi,auroc_mean,auroc_dist,degeneracy,degenerate_share
label-definition,VIRCHOW2,MHIST->PCam,0.23065621619835264,0.4527512617160663,0.22209504551771364,0.1156072336150997,True,0.49760185821288966,0.6847770905274055,0.6018366881584042,0.10183668815840419,1.0,1.0
label-definition,VIRCHOW2,PCam->MHIST,0.10675920605828748,0.12259262157624869,0.015833415517961205,0.0012974147161828365,True,0.5652079956780119,0.584508373851972,0.5832735558356844,0.08327355583568441,0.9327305811440918,0.16666666666666666
covariate,CLIP,h0->h1,0.26377162886218497,0.0779017677671327,-0.18586986109505227,-0.09572710636924653,False,0.9224665185185187,0.9568906666666667,0.9469496790123456,0.4469496790123456,0.5821296296296296,0.0
covariate,CLIP,h0->h2,0.10401121081546706,0.1028423313056232,-0.0011688795098438592,-0.005794273789738614,False,0.7062177777777778,0.9660262222222222,0.8942246419753087,0.3942246419753087,0.5435740740740741,0.0
covariate,CLIP,h0->h3,0.2586284993928902,0.0610347366964388,-0.19759376269645137,-0.10427452113717567,False,0.9364745185185185,0.9575035555555557,0.9527253580246913,0.45272535802469127,0.550148148148148,0.0
covariate,CLIP,h0->h4,0.2145443101953263,0.36096573972852547,0.14642142953319917,0.07512798640471047,True,0.8287945185185185,0.9389328888888887,0.9025379012345679,0.4025379012345679,0.9677222222222223,0.0
covariate,CLIP,h1->h0,0.20075201102825002,0.0554775558508625,-0.14527445517738752,-0.07430412264223098,False,0.8785281481481482,0.9487888888888888,0.9227399753086419,0.42273997530864194,0.5257037037037038,0.0
covariate,CLIP,h1->h2,0.1210053968124883,0.0411296749761944,-0.0798757218362939,-0.03463933930898709,False,0.6288478518518518,0.8169204444444444,0.7346492098765433,0.23464920987654325,0.5479259259259259,0.0
covariate,CLIP,h1->h3,0.27205846703950115,0.0612686619058235,-0.21078980513367765,-0.10641332458556603,False,0.9377651851851851,0.9665631111111112,0.9568385185185185,0.45683851851851853,0.5609259259259258,0.0
covariate,CLIP,h1->h4,0.10029836148436021,0.2808270482029582,0.18052868671859795,0.09454979712674919,True,0.5534121481481482,0.669619111111111,0.6285817530864197,0.12858175308641973,0.9505740740740742,0.05555555555555555
covariate,CLIP,h2->h0,0.13224456685926816,0.0923210001380147,-0.03992356672125347,-0.01802514933765379,False,0.7673842962962963,0.9402248888888888,0.8834232839506173,0.3834232839506173,0.5569444444444446,0.0
covariate,CLIP,h2->h1,0.054904323473459804,0.1442315971829627,0.08932727370950289,0.046997742102756784,True,0.6429677037037037,0.8287613333333335,0.7605951358024692,0.2605951358024692,0.6724814814814816,0.0
covariate,CLIP,h2->h3,0.09993046596630473,0.10528518129347049,0.005354715327165763,0.0030289550709132643,True,0.7101404444444445,0.8825053333333334,0.823197851851852,0.323197851851852,0.6336111111111111,0.0
covariate,CLIP,h2->h4,0.13051188054112667,0.1187250184892072,-0.011786862051919464,-0.005134058388489236,False,0.7846736296296296,0.9666782222222222,0.9072499999999999,0.4072499999999999,0.6275740740740741,0.0
covariate,CLIP,h3->h0,0.240093852938162,0.0937809818002542,-0.1463128711379078,-0.07583906049470701,False,0.9037859259259259,0.9223097777777779,0.9175861975308641,0.4175861975308641,0.6012592592592592,0.0
covariate,CLIP,h3->h1,0.2703459152861712,0.23848241649709032,-0.031863498789080874,-0.011867968488312295,False,0.9384685925925926,0.9504737777777775,0.9472014567901234,0.44720145679012335,0.7482037037037038,0.0
covariate,CLIP,h3->h2,0.1228484386035764,0.23192577377218196,0.10907733516860556,0.06264028732897589,True,0.7168831111111111,0.8294426666666667,0.777169086419753,0.277169086419753,0.7914444444444444,0.0
covariate,CLIP,h3->h4,0.17814956878720867,0.4619809610369197,0.28383139224971105,0.1441329956843521,True,0.7192364444444445,0.7936164444444445,0.7634052345679011,0.2634052345679011,0.996462962962963,1.0
covariate,CLIP,h4->h0,0.21994509881801205,0.18741853265718636,-0.03252656616082569,-0.017990268635653922,False,0.8632761481481482,0.9094564444444444,0.8896683209876542,0.38966832098765425,0.766888888888889,0.0
covariate,CLIP,h4->h1,0.11146863713793538,0.3446827151721303,0.23321407803419492,0.11758888950418316,True,0.6153029629629629,0.6643502222222222,0.6299815555555556,0.12998155555555557,0.9658148148148147,0.05555555555555555
covariate,CLIP,h4->h2,0.2416834231405963,0.1583577776465314,-0.0833256454940649,-0.04838297367457145,False,0.8896948148148148,0.9664137777777778,0.9429849629629631,0.4429849629629631,0.6559629629629629,0.0
covariate,CLIP,h4->h3,0.1485285353168855,0.2834770022244651,0.13494846690757958,0.06997953117972505,True,0.770309037037037,0.8145231111111112,0.7979581728395062,0.2979581728395062,0.8986481481481482,0.0
covariate,CONCH,h0->h1,0.1831887260828947,0.017647381269645,-0.1655413448132497,-0.08090808636636201,False,0.9832811851851853,0.9880017777777778,0.9858730617283951,0.48587306172839506,0.5385185185185184,0.0
