model,dataset,fraction,seed,budget,n_train,n_val,n_labels_total,n_classes,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature,ece_scaled_fixed,ece_scaled_adaptive,degeneracy_share,forced_classes,forced_val_classes,degenerate
MIDNIGHT,LungHist700,1.0,123,proportional,483,103,586,7,0.9460658957717402,0.68089805558137,,0.1946074086746045,0.2107724362373422,0.505135268342822,0.104621205238328,0.0738649256598909,0.2,0,0,False
MIDNIGHT,LungHist700,1.0,456,proportional,483,103,586,7,0.9460658957717402,0.68089805558137,,0.1946074086746045,0.2107724362373422,0.505135268342822,0.104621205238328,0.0738649256598909,0.2,0,0,False
MIDNIGHT,MHIST,0.01,42,proportional,18,3,21,2,0.5655141365027913,0.3870765370138017,0.2386971070985855,0.0895947940735582,0.1025051543452882,2.201820832060742,0.0720064768133867,0.0905843252146088,1.0,0,0,True
MIDNIGHT,MHIST,0.01,123,proportional,18,3,21,2,0.4122051143526022,0.3870765370138017,0.2452755620870261,0.0947196747625885,0.1056183598697714,1.970177342742046,0.0958841032616293,0.1070437204313617,1.0,0,0,True
MIDNIGHT,MHIST,0.01,456,proportional,18,3,21,2,0.5198631370430398,0.3870765370138017,0.2385557837968358,0.0874421502655394,0.0985531136901235,1.5946462378045727,0.1075836876347662,0.126650380366265,1.0,0,0,True
MIDNIGHT,MHIST,0.05,42,proportional,92,16,108,2,0.6809247253736719,0.3870765370138017,0.2280438271458725,0.1290789943882425,0.1278720586179485,1.6607348804130837,0.1459481626446199,0.1469248768543677,1.0,0,0,True
MIDNIGHT,MHIST,0.05,123,proportional,92,16,108,2,0.6143841166936791,0.3870765370138017,0.2348147453592028,0.0885413561603101,0.0986138371843413,2.189874890667065,0.0902592009216087,0.0889511063660071,1.0,0,0,True
MIDNIGHT,MHIST,0.05,456,proportional,92,16,108,2,0.5567981271384836,0.3870765370138017,0.2370218319583216,0.0977809975296123,0.1043804709815449,2.871492469594294,0.0500029350259793,0.0863634532409176,1.0,0,0,True
MIDNIGHT,MHIST,0.1,42,proportional,184,32,216,2,0.6882901134521879,0.3889107747598314,0.2210368834695176,0.1007090323888895,0.1091165202187023,1.5395142954804442,0.1285375129921219,0.1290574805658584,0.9959058341862844,0,0,True
MIDNIGHT,MHIST,0.1,123,proportional,184,32,216,2,0.6469611021069692,0.3870765370138017,0.2298304308759687,0.106974376026468,0.1101677663515443,1.9061016723143196,0.1154386374779281,0.1163403074218522,1.0,0,0,True
MIDNIGHT,MHIST,0.1,456,proportional,184,32,216,2,0.6704619124797407,0.3870765370138017,0.2239524183549604,0.0980521287182033,0.106567635326526,1.935246621918052,0.1082818537566692,0.1094161271176628,1.0,0,0,True
MIDNIGHT,MHIST,0.25,42,proportional,461,81,542,2,0.6964838825859895,0.4570488661769403,0.2152873937526521,0.0895141113214277,0.089224878370397,1.9418265297206363,0.091330438607784,0.0912760565542244,0.95496417604913,0,0,False
MIDNIGHT,MHIST,0.25,123,proportional,461,81,542,2,0.7095759049162615,0.419908869037507,0.2151805805886197,0.1070486807064434,0.1197323351631814,1.5492657011941295,0.1309915627561813,0.141845443126184,0.9825997952917092,0,0,False
MIDNIGHT,MHIST,0.25,456,proportional,461,81,542,2,0.6657932649018549,0.4658266185272856,0.218400541451406,0.0722987219471679,0.0834238986821001,1.7611300375766012,0.0945638083154661,0.0949917535977377,0.9539406345957012,0,0,False
