model,src,tgt,pair,fraction,seed,n_train,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature_src,ece_scaled_fixed,ece_scaled_adaptive,temperature_oracle,ece_scaled_oracle,degeneracy_share,degenerate
H-Optimus-0,PCam,MHIST,PCam->MHIST,0.01,123,2620,0.5986358725013505,0.3870765370138017,0.292168295798346,0.2528393342393394,0.2480493166967303,1.4150629560882058,0.3097796852448531,0.3075739610414122,7.150882562614629,0.0578122240086259,1.0,True
H-Optimus-0,PCam,MHIST,PCam->MHIST,0.01,456,2620,0.6128534125697821,0.3870765370138017,0.2931229636435566,0.2561158010012051,0.254542902118558,1.4190627516287044,0.3150660679108109,0.3121527460166455,7.201808925215296,0.049160617432134,1.0,True
H-Optimus-0,PCam,MHIST,PCam->MHIST,0.05,42,13106,0.5983477399603818,0.3870765370138017,0.3265988480817527,0.3116193806010858,0.3092243566010292,1.8331680558070689,0.3222246340371534,0.3204531270406894,9.999993797093047,0.0698660171808069,1.0,True
H-Optimus-0,PCam,MHIST,PCam->MHIST,0.05,123,13106,0.6143616063389159,0.3870765370138017,0.3297670779773303,0.3172554508082774,0.3164364317913893,1.834068701061151,0.3276465761497442,0.3268454963973829,9.999996463510737,0.0504409307150394,1.0,True
H-Optimus-0,PCam,MHIST,PCam->MHIST,0.05,456,13106,0.6219746083198272,0.3896971043060607,0.3014766684260488,0.273661798249303,0.2721084583468229,1.8188766017433424,0.2896089408790978,0.2878344305038315,7.903907353735208,0.0503456356930754,0.9979529170931424,True
H-Optimus-0,PCam,MHIST,PCam->MHIST,0.1,42,26214,0.6068206374932468,0.3870765370138017,0.326989797642912,0.3129823741997295,0.311590154403326,2.038877887495884,0.3109887266151188,0.3090157835341242,9.999994565931468,0.0594693182830336,1.0,True
H-Optimus-0,PCam,MHIST,PCam->MHIST,0.1,123,26214,0.641599135602377,0.3870765370138017,0.3223812653259454,0.3093438115192111,0.3093438115192111,2.044967694701036,0.3066998497001375,0.3063105295564299,9.649553417018174,0.0671264595088166,1.0,True
H-Optimus-0,PCam,MHIST,PCam->MHIST,0.1,456,26214,0.6360300738339636,0.3896971043060607,0.3154838043279978,0.2996975940850942,0.2976343860217985,2.0242656863609976,0.2975505517469646,0.2958818166863825,9.094749806100758,0.0550123116468898,0.9979529170931424,True
H-Optimus-0,PCam,MHIST,PCam->MHIST,0.25,42,65536,0.638042499549793,0.386691776522285,0.3282746090718416,0.3188039919070166,0.3175534177581666,2.316435373639876,0.2999669620847691,0.2987465708697925,9.999993627315527,0.0612741014906271,0.9989764585465712,True
H-Optimus-0,PCam,MHIST,PCam->MHIST,0.25,123,65536,0.643517017828201,0.386691776522285,0.3251137217887043,0.3160554508299939,0.314252737939259,2.306965235177408,0.2972760931029722,0.2954410325840448,9.99999461044766,0.0614610795566367,0.9989764585465712,True
H-Optimus-0,PCam,MHIST,PCam->MHIST,0.25,456,65536,0.6475688816855754,0.3896971043060607,0.3219120056057966,0.3097019580678103,0.3085353030633003,2.3931951824805533,0.284885329320204,0.2833521167627393,9.891801592117163,0.0727126901667029,0.9979529170931424,True
H-Optimus-0,PCam,MHIST,PCam->MHIST,0.5,42,131072,0.6475103547631912,0.3896971043060607,0.3292018107948543,0.3212249194603643,0.3199552217386326,2.5375491479741794,0.2914648947931141,0.2894055894292066,9.999994308809214,0.0590632408505342,0.9979529170931424,True
H-Optimus-0,PCam,MHIST,PCam->MHIST,0.5,123,131072,0.6635962542769674,0.3896971043060607,0.3319772171146605,0.3244386033586841,0.3241838715367265,2.5845093299513167,0.2926969909529507,0.2919441391279412,9.999994550475556,0.0703374774876069,0.9979529170931424,True
H-Optimus-0,PCam,MHIST,PCam->MHIST,0.5,456,131072,0.6308887088060509,0.386691776522285,0.3310561483772011,0.3253627461004713,0.3216074795474472,2.527606259694944,0.2966869544463221,0.2930705962822579,9.999993388464365,0.0519036879450579,0.9989764585465712,True
H-Optimus-0,PCam,MHIST,PCam->MHIST,1.0,42,262144,0.6447956059787502,0.3926875174232468,0.3254595403591805,0.3160263547652373,0.3145052951114677,2.7490706558992173,0.2736396903181777,0.2722393635104189,9.999994317112884,0.0591433061047705,0.9969293756397134,True
H-Optimus-0,PCam,MHIST,PCam->MHIST,1.0,123,262144,0.6447956059787502,0.3926875174232468,0.3254595403591805,0.3160263547652373,0.3145052951114677,2.7490706558992173,0.2736396903181777,0.2722393635104189,9.999994317112884,0.0591433061047705,0.9969293756397134,True
H-Optimus-0,PCam,MHIST,PCam->MHIST,1.0,456,262144,0.6447956059787502,0.3926875174232468,0.3254595403591805,0.3160263547652373,0.3145052951114677,2.7490706558992173,0.2736396903181777,0.2722393635104189,9.999994317112884,0.0591433061047705,0.9969293756397134,True
MIDNIGHT,BRACS,CRC,BRACS->CRC,0.01,42,36,0.3812928014177769,0.4618254879448909,0.1577430426741481,0.1841304299185852,0.1860029111497852,1.4440279373566958,0.1261198004867522,0.1366080936248773,0.8352306208921443,0.0527457125457824,1.0,True
MIDNIGHT,BRACS,CRC,BRACS->CRC,0.01,123,36,0.4418513679514199,0.4618254879448909,0.1428085959426866,0.1381160356297721,0.1415183274736577,1.6651723887336605,0.1096315311479338,0.1103582689346119,1.087208612647789,0.0370439679688971,1.0,True
MIDNIGHT,BRACS,CRC,BRACS->CRC,0.01,456,36,0.3257367144749692,0.4618254879448909,0.1506974120009842,0.1663903953954029,0.1732764779139389,1.2702676522717635,0.1094382648365979,0.1115978578124948,0.958453691809565,0.0752322998804404,1.0,True
MIDNIGHT,BRACS,CRC,BRACS->CRC,0.05,42,181,0.4313673570774357,0.4614583707320576,0.1650994286025642,0.1977647436073642,0.1976571457893165,2.0247286660240165,0.1995531479134907,0.1994459148934258,0.8100456013450744,0.0891737759094467,0.9987333333333334,True
MIDNIGHT,BRACS,CRC,BRACS->CRC,0.05,123,181,0.5741480166778039,0.4617675553482364,0.153977249295153,0.181027832501946,0.1799129124849607,2.26763939195342,0.1995392126516173,0.1990512915937882,0.840034193853521,0.02679136981758,0.9998,True
MIDNIGHT,BRACS,CRC,BRACS->CRC,0.05,456,181,0.2272315003247709,0.4618254879448909,0.1461702754436989,0.1526042018458314,0.178484726049169,1.9683298601200856,0.152767599529733,0.1767209400345974,1.3214731234448194,0.1200009480733152,1.0,True
MIDNIGHT,BRACS,CRC,BRACS->CRC,0.1,42,364,0.5392680738515025,0.5285754171470798,0.193621427405637,0.2654632408408421,0.2652137743460495,2.0195548574175373,0.2663102171104792,0.2660624862885142,0.5446055224067241,0.1250481850642346,0.9156,False
MIDNIGHT,BRACS,CRC,BRACS->CRC,0.1,123,364,0.6043275796506493,0.5010503375933184,0.1587870431109397,0.1978823255620175,0.1978516146727152,2.1096018165291417,0.2055191210552274,0.2053448185446885,0.7527887973319396,0.0455629154884709,0.9854666666666668,False
MIDNIGHT,BRACS,CRC,BRACS->CRC,0.1,456,364,0.5233067300592998,0.4618254879448909,0.1331855305846739,0.1043994699792357,0.1081400599979596,2.111812107799812,0.1173639760982397,0.1175023274817787,1.2935851528258773,0.0399546550559824,1.0,True
MIDNIGHT,BRACS,CRC,BRACS->CRC,0.25,42,913,0.6538322529054146,0.5578416015739995,0.1747423470215054,0.2371789804396589,0.2370659610567131,1.9792642124794109,0.236038426289992,0.2359404978547785,0.7182397461367284,0.1085092299478188,0.8741333333333333,False
MIDNIGHT,BRACS,CRC,BRACS->CRC,0.25,123,913,0.6394393452361482,0.5503820666761308,0.1575176260101003,0.1974158139957015,0.1973436373341204,2.118566826385341,0.205324199243516,0.2051541943642963,0.7998469660177591,0.0674376597014837,0.9442666666666668,False
MIDNIGHT,BRACS,CRC,BRACS->CRC,0.25,456,913,0.4818729205315962,0.4645912438038353,0.1435804580348986,0.1242039750738788,0.1254488929365722,2.097758740318292,0.1320478681304241,0.1329075923086339,1.279336625844352,0.0698933182111214,0.9944,True
