model,src,tgt,pair,fraction,seed,n_train,n_val_full,n_val_prop,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature_src,ece_scaled_fixed,ece_scaled_adaptive,temperature_prop,ece_scaled_prop,degeneracy_share,degenerate
MIDNIGHT,4,2,h4->h2,0.5,456,7000,3000,1500,0.9934404444444443,0.9293170136404764,0.0506404944012085,0.0836004010616628,0.0838005082362112,1.3687331499204147,0.0771865021523843,0.0772953416530474,1.405355300810493,0.0773027881527141,0.5703333333333334,False
MIDNIGHT,4,2,h4->h2,1.0,42,14000,3000,3000,0.9956404444444444,0.955579360367282,0.0349191418077279,0.056572184326674,0.0594923872756932,1.4408726665114358,0.0506932322343231,0.0511428778464223,1.4408726665114358,0.0506932322343231,0.5443333333333333,False
MIDNIGHT,4,2,h4->h2,1.0,123,14000,3000,3000,0.9956404444444444,0.955579360367282,0.0349191418077279,0.056572184326674,0.0594923872756932,1.4408726665114358,0.0506932322343231,0.0511428778464223,1.4408726665114358,0.0506932322343231,0.5443333333333333,False
MIDNIGHT,4,2,h4->h2,1.0,456,14000,3000,3000,0.9956404444444444,0.955579360367282,0.0349191418077279,0.056572184326674,0.0594923872756932,1.4408726665114358,0.0506932322343231,0.0511428778464223,1.4408726665114358,0.0506932322343231,0.5443333333333333,False
MIDNIGHT,4,3,h4->h3,0.01,42,140,3000,30,0.9928484444444444,0.9461859486052412,0.0802405968316917,0.2192053343259336,0.2107512346325386,0.5231958166140512,0.0619745799127169,0.0624079757896495,0.1000036141666664,0.0552983108332066,0.5523333333333333,False
MIDNIGHT,4,3,h4->h3,0.01,123,140,3000,30,0.9930711111111112,0.9357476739765588,0.0792288758755375,0.2170868792643872,0.2080772412813931,0.5587218337450778,0.06622954349568,0.0670521743871985,0.407087734583171,0.0651556660544285,0.5626666666666666,False
MIDNIGHT,4,3,h4->h3,0.01,456,140,3000,30,0.9914582222222222,0.9259458739174332,0.0827095438126086,0.2024307265101532,0.1952244338453186,0.6544722983093116,0.0851458123670588,0.0863531911277249,0.1000052749944835,0.0720129971878392,0.5723333333333334,False
MIDNIGHT,4,3,h4->h3,0.05,42,700,3000,150,0.993384888888889,0.9465257560923874,0.0473814916687445,0.1129105074456144,0.1089302441058052,0.8872261030968421,0.0584304279277619,0.0588042003989716,0.8656667126687578,0.058350211891452,0.5513333333333333,False
MIDNIGHT,4,3,h4->h3,0.05,123,700,3000,150,0.9934551111111112,0.93844506891476,0.0509002802528366,0.1190689256904373,0.1185663304861926,0.9176655409747912,0.0647691429790307,0.0647691429790306,0.4460672473835603,0.0615242455363966,0.56,False
MIDNIGHT,4,3,h4->h3,0.05,456,700,3000,150,0.9933715555555556,0.9461859486052412,0.0478301221302345,0.1105306459385054,0.1097594797177183,0.979038278791104,0.0594371490616612,0.0598441164138572,1.0885082245348474,0.0597369473233845,0.5523333333333333,False
MIDNIGHT,4,3,h4->h3,0.1,42,1400,3000,300,0.992686222222222,0.9492130472572596,0.0424763002861289,0.0922616812556406,0.092571196245063,1.0400176013024371,0.0536019815768173,0.0539518849335531,1.161391970478205,0.0532914920945016,0.5486666666666666,False
