model,dataset,fraction,mean,std,min,max
PLIP,PCam,0.01,0.94226822444974,0.0011068352710454287,0.9414989319944668,0.9435367406655112
PLIP,PCam,0.05,0.9504853582895643,0.0005552154185116946,0.9498641697441949,0.950933276100943
PLIP,PCam,0.1,0.9515059936436279,7.0169272373952e-05,0.9514249772571916,0.951547494626892
PLIP,PCam,0.25,0.9529608091777054,0.0007048071011144132,0.952146968451148,0.9533684392089156
PLIP,PCam,0.5,0.9531051952472128,0.0006435407994244855,0.9524826171683084,0.9537678276547178
PLIP,PCam,1.0,0.9523657175374036,0.0,0.9523657175374036,0.9523657175374036
PLIP,SPIDER-Breast,0.01,0.9447151800217825,0.0033187886634351853,0.94152439243216,0.9481486472947168
PLIP,SPIDER-Breast,0.05,0.9650643579182338,0.0004807732028731132,0.9645398234798476,0.9654840754146926
PLIP,SPIDER-Breast,0.1,0.9712023738980614,0.000406968860567965,0.9708947911649416,0.9716638474061032
PLIP,SPIDER-Breast,0.25,0.9762605480013545,0.00015840935113327874,0.9761467009531016,0.976441458055917
PLIP,SPIDER-Breast,0.5,0.9790636712426525,0.00021993940286483472,0.9788493387561964,0.97928881854313
PLIP,SPIDER-Breast,1.0,0.9816586026879696,0.0,0.9816586026879696,0.9816586026879696
UNI,BRACS,0.01,0.785739829982184,0.020880079877731453,0.7616340370155833,0.798193718721001
UNI,BRACS,0.05,0.8540539113954025,0.009232147176733993,0.8467684605019842,0.8644363842745137
UNI,BRACS,0.1,0.8680369036781768,0.0060163179104404324,0.8621632858019276,0.8741864281316155
UNI,BRACS,0.25,0.8848528828121958,0.004280285728238298,0.8805822739197661,0.8891427801854588
UNI,BRACS,0.5,0.8951622446224418,0.0030899657155934786,0.8918930092799499,0.8980345873560882
UNI,BRACS,1.0,0.9012589709524764,0.0,0.9012589709524764,0.9012589709524764
UNI,CRC,0.01,0.9994475841496796,0.00011427618866673421,0.9993768779504184,0.9995794231152996
UNI,CRC,0.05,0.9996093015865503,5.7988606344398506e-05,0.9995425683483928,0.9996474310471702
UNI,CRC,0.1,0.9996696736882832,3.401813035972791e-05,0.9996325775034144,0.999699408290196
UNI,CRC,0.25,0.9998108506837218,4.3829150368175644e-05,0.9997786037222698,0.9998607542551794
UNI,CRC,0.5,0.999892127050979,3.390837852059305e-05,0.9998543881739848,0.9999200303704976
UNI,CRC,1.0,0.9999219330690908,0.0,0.9999219330690908,0.9999219330690908
UNI,LungHist700,0.01,0.6790216163079821,0.018374277658404162,0.6680259617412434,0.7002336335149476
UNI,LungHist700,0.05,0.8110901529189513,0.04837826807546267,0.7631658263843945,0.8599099310484446
UNI,LungHist700,0.1,0.8682977164985147,0.019176100274330674,0.8497558516949673,0.8880506457967015
UNI,LungHist700,0.25,0.9267321490192475,0.015722526662581462,0.9100480885634414,0.9412733275504128
UNI,LungHist700,0.5,0.9447378967050479,0.007039179370458693,0.9381056738060222,0.9521234381850098
UNI,LungHist700,1.0,0.9634073153799294,0.0,0.9634073153799294,0.9634073153799294
UNI,MHIST,0.01,0.6927846809532384,0.06948456467066846,0.6134206735098146,0.7426706284891049
UNI,MHIST,0.05,0.7712137583288312,0.0324287977111866,0.7436115613182064,0.8069286871961102
UNI,MHIST,0.1,0.8196950597274747,0.008078278984122712,0.8117639113992436,0.8279128399063569
UNI,MHIST,0.25,0.8383186265682214,0.013406806229430973,0.8228435080136863,0.8464208535926527
UNI,MHIST,0.5,0.869498469295876,0.0033707946573231064,0.8660813974428239,0.8728209976589231
UNI,MHIST,1.0,0.8856428957320367,0.0,0.8856428957320367,0.8856428957320367
UNI,PCam,0.01,0.982210100175049,0.000935952476767151,0.9816070314449988,0.9832883185935304
