model,dataset,fraction,C,auroc,ece
H-Optimus-0,LungHist700,1.0,0.01,0.8667711883563557,0.029475832332027163
H-Optimus-0,LungHist700,1.0,0.1,0.9139753870564947,0.21064554525938917
H-Optimus-0,LungHist700,1.0,1.0,0.9637720379268856,0.3144088020647313
H-Optimus-0,LungHist700,1.0,10.0,0.9836733440759815,0.15657533582952668
H-Optimus-0,LungHist700,1.0,100.0,0.9887845270875059,0.05648102942656367
H-Optimus-0,BRACS,0.01,0.01,0.7333092253054799,0.0734634525525164
H-Optimus-0,BRACS,0.01,0.1,0.7347431110032083,0.03380255393450545
H-Optimus-0,BRACS,0.01,1.0,0.746102606055843,0.0737166698236729
H-Optimus-0,BRACS,0.01,10.0,0.7630071584532754,0.06809242584021812
H-Optimus-0,BRACS,0.01,100.0,0.7646803942340213,0.15531344149745357
H-Optimus-0,BRACS,0.1,0.01,0.7955238667698051,0.03944423858183571
H-Optimus-0,BRACS,0.1,0.1,0.8149959270889807,0.11182622171227712
H-Optimus-0,BRACS,0.1,1.0,0.8520697230214633,0.10224462227181623
H-Optimus-0,BRACS,0.1,10.0,0.8642470133826601,0.05649271321635529
H-Optimus-0,BRACS,0.1,100.0,0.8593707076303464,0.18872170040856426
H-Optimus-0,BRACS,1.0,0.01,0.8203347393255692,0.13084555000234568
H-Optimus-0,BRACS,1.0,0.1,0.8677090469352695,0.14666496131311377
H-Optimus-0,BRACS,1.0,1.0,0.8956033932491522,0.05696337785703848
H-Optimus-0,BRACS,1.0,10.0,0.8946831729061943,0.10547759277718836
H-Optimus-0,BRACS,1.0,100.0,0.8761909586019686,0.2214510984021153
MIDNIGHT,MHIST,0.01,0.01,0.4944024251155532,0.09062585219441123
MIDNIGHT,MHIST,0.01,0.1,0.4950042019328891,0.08949252767371348
MIDNIGHT,MHIST,0.01,1.0,0.49919412929947776,0.09058553970056206
MIDNIGHT,MHIST,0.01,10.0,0.515667206915181,0.12563445362021994
MIDNIGHT,MHIST,0.01,100.0,0.5243592052344078,0.21408325191222108
MIDNIGHT,MHIST,0.1,0.01,0.598178161954499,0.08556789098328205
MIDNIGHT,MHIST,0.1,0.1,0.6161384236748905,0.09672257279237689
MIDNIGHT,MHIST,0.1,1.0,0.6685710426796326,0.10191184571118699
MIDNIGHT,MHIST,0.1,10.0,0.72109220241311,0.06853493094407383
MIDNIGHT,MHIST,0.1,100.0,0.7414070472417312,0.0889871367058906
MIDNIGHT,MHIST,1.0,0.01,0.6158698001080496,0.1006488598073381
MIDNIGHT,MHIST,1.0,0.1,0.6662344678552135,0.09219005767524542
MIDNIGHT,MHIST,1.0,1.0,0.7383261300198093,0.08252947602657434
MIDNIGHT,MHIST,1.0,10.0,0.7932739059967586,0.05569910271025177
MIDNIGHT,MHIST,1.0,100.0,0.8063209076175041,0.06661442826276767
MIDNIGHT,LungHist700,0.01,0.01,0.6936447986282549,0.2154336531649119
MIDNIGHT,LungHist700,0.01,0.1,0.693854850077621,0.21778262224045786
MIDNIGHT,LungHist700,0.01,1.0,0.697025910182325,0.17268684421444588
MIDNIGHT,LungHist700,0.01,10.0,0.6981646604067023,0.14427587804835418
MIDNIGHT,LungHist700,0.01,100.0,0.696988171111233,0.19334446192356214
MIDNIGHT,LungHist700,0.1,0.01,0.8508759506251992,0.03176312078671939
