model,src,tgt,pair,fraction,seed,C,n_train,auroc,f1_macro,brier,ece_fixed,temperature_src,ece_scaled_fixed,degeneracy_share
CLIP,MHIST,PCam,MHIST->PCam,1.0,42,10.0,1849,0.6058603960542359,0.3404292759847829,0.3998304304149844,0.3916928671416619,1.6927803546074185,0.4163426595873641,0.98773193359375
CLIP,MHIST,PCam,MHIST->PCam,1.0,42,100.0,1849,0.5820248071820123,0.3797196606997581,0.425314474456444,0.4114154834165804,2.2413946410258245,0.3989002593233795,0.94805908203125
CLIP,MHIST,PCam,MHIST->PCam,1.0,123,0.01,1849,0.5069925741949534,0.3334282633902236,0.2982096761113764,0.2192882472512342,2.304648547416132,0.1934891173111168,1.0
CLIP,MHIST,PCam,MHIST->PCam,1.0,123,0.1,1849,0.5408331658721905,0.3334282633902236,0.3099559715515262,0.2468544119986042,1.811750682042576,0.2657585390214636,1.0
CLIP,MHIST,PCam,MHIST->PCam,1.0,123,1.0,1849,0.6281318991574014,0.3336991348410004,0.3392799215869682,0.3117107328497831,1.507202076686294,0.3690910565961031,0.99932861328125
CLIP,MHIST,PCam,MHIST->PCam,1.0,123,10.0,1849,0.6058603960542359,0.3404292759847829,0.3998304304149844,0.3916928671416619,1.6927803546074185,0.4163426595873641,0.98773193359375
CLIP,MHIST,PCam,MHIST->PCam,1.0,123,100.0,1849,0.5820248071820123,0.3797196606997581,0.425314474456444,0.4114154834165804,2.2413946410258245,0.3989002593233795,0.94805908203125
CLIP,MHIST,PCam,MHIST->PCam,1.0,456,0.01,1849,0.5069925741949534,0.3334282633902236,0.2982096761113764,0.2192882472512342,2.304648547416132,0.1934891173111168,1.0
CLIP,MHIST,PCam,MHIST->PCam,1.0,456,0.1,1849,0.5408331658721905,0.3334282633902236,0.3099559715515262,0.2468544119986042,1.811750682042576,0.2657585390214636,1.0
CLIP,MHIST,PCam,MHIST->PCam,1.0,456,1.0,1849,0.6281318991574014,0.3336991348410004,0.3392799215869682,0.3117107328497831,1.507202076686294,0.3690910565961031,0.99932861328125
CLIP,MHIST,PCam,MHIST->PCam,1.0,456,10.0,1849,0.6058603960542359,0.3404292759847829,0.3998304304149844,0.3916928671416619,1.6927803546074185,0.4163426595873641,0.98773193359375
CLIP,MHIST,PCam,MHIST->PCam,1.0,456,100.0,1849,0.5820248071820123,0.3797196606997581,0.425314474456444,0.4114154834165804,2.2413946410258245,0.3989002593233795,0.94805908203125
CLIP,PCam,MHIST,PCam->MHIST,0.01,42,0.01,2620,0.4558481901674771,0.4144020936220506,0.2538341294267112,0.1389899684307129,0.1769146329091654,0.2715965298822395,0.7164790174002047
CLIP,PCam,MHIST,PCam->MHIST,0.01,42,0.1,2620,0.4619439942373492,0.394603835845521,0.2755849450888396,0.1859413948583337,0.6427327549591273,0.3091520765525921,0.7645854657113613
CLIP,PCam,MHIST,PCam->MHIST,0.01,42,1.0,2620,0.4690077435620385,0.4364489916214054,0.2990865014179927,0.2159478932478505,1.2501508355836377,0.2672462413527785,0.7001023541453428
