model,pair,lo,hi,delta,rises,monotone
CONCH,h4->h0,0.17602771002758888,0.023908189874217296,-0.15211952015337157,False,False
CONCH,h4->h1,0.23757254825597973,0.0988400092702,-0.13873253898577975,False,False
CONCH,h4->h2,0.20675167568151162,0.012599591526271598,-0.19415208415524002,False,False
CONCH,h4->h3,0.21353725603144405,0.0562300789915165,-0.15730717703992755,False,False
GigaPath,h0->h1,0.28458312453322315,0.063051445078341,-0.22153167945488217,False,False
GigaPath,h0->h2,0.2806517079366439,0.0736400165218579,-0.20701169141478598,False,False
GigaPath,h0->h3,0.24167267714847784,0.0585471728607502,-0.18312550428772764,False,False
GigaPath,h0->h4,0.3609351529903215,0.2760854432620153,-0.08484970972830619,False,False
GigaPath,h1->h0,0.27513841848045345,0.0540369708391635,-0.22110144764128994,False,False
GigaPath,h1->h2,0.32009105606763083,0.146551283039338,-0.17353977302829282,False,False
GigaPath,h1->h3,0.2445359955824761,0.0504755930225837,-0.1940604025598924,False,False
GigaPath,h1->h4,0.3426627811342158,0.349771373027619,0.007108591893403238,True,False
GigaPath,h2->h0,0.2644339684070604,0.04561642785545359,-0.21881754055160682,False,False
GigaPath,h2->h1,0.3052848723177949,0.1018380325483663,-0.20344683976942857,False,False
GigaPath,h2->h3,0.28802636201831394,0.0694119425776215,-0.21861441944069243,False,False
GigaPath,h2->h4,0.33983807939718935,0.1888401641013342,-0.15099791529585516,False,False
GigaPath,h3->h0,0.26578817521279535,0.0550202426614668,-0.21076793255132856,False,False
GigaPath,h3->h1,0.26361606794346215,0.0479737296298078,-0.21564233831365434,False,False
GigaPath,h3->h2,0.3060159051591395,0.1807814491538905,-0.12523445600524902,False,False
GigaPath,h3->h4,0.37431135540836064,0.34558695103095544,-0.0287244043774052,False,False
GigaPath,h4->h0,0.3323360870202025,0.1223731571368879,-0.2099629298833146,False,False
GigaPath,h4->h1,0.29945745505584825,0.1695440058817034,-0.12991344917414485,False,False
GigaPath,h4->h2,0.3488191826330178,0.1452006461575075,-0.20361853647551031,False,False
GigaPath,h4->h3,0.3433668250641552,0.1451558952735725,-0.19821092979058272,False,False
H-Optimus-0,h0->h1,0.30270731470900664,0.094479125533114,-0.20822818917589264,False,False
H-Optimus-0,h0->h2,0.3105469213613013,0.1024895929505063,-0.208057328410795,False,False
H-Optimus-0,h0->h3,0.264504608452903,0.059330465435398695,-0.20517414301750433,False,False
H-Optimus-0,h0->h4,0.34138339516248245,0.1818821518957275,-0.15950124326675494,False,False
H-Optimus-0,h1->h0,0.3127573094841258,0.0877755457671145,-0.22498176371701128,False,False
H-Optimus-0,h1->h2,0.32008859073053175,0.12395823533833,-0.19613035539220175,False,False
H-Optimus-0,h1->h3,0.259620492619804,0.04916818703533019,-0.21045230558447384,False,False
H-Optimus-0,h1->h4,0.32227398679752267,0.1977745490885042,-0.12449943770901847,False,False
H-Optimus-0,h2->h0,0.3280774366295114,0.0952559181395714,-0.23282151848993998,False,False
H-Optimus-0,h2->h1,0.30716362392803304,0.1532892602101187,-0.15387436371791433,False,False
H-Optimus-0,h2->h3,0.3011824517654688,0.08379709866270961,-0.2173853531027592,False,False
H-Optimus-0,h2->h4,0.342259993670367,0.1338793761659143,-0.20838061750445272,False,False
H-Optimus-0,h3->h0,0.2879944043779233,0.0855454920205294,-0.20244891235739387,False,False
H-Optimus-0,h3->h1,0.28365191479818386,0.0814512289015187,-0.20220068589666518,False,False
H-Optimus-0,h3->h2,0.3161788751159755,0.22686739706203882,-0.08931147805393666,False,False
H-Optimus-0,h3->h4,0.34800593121682594,0.243330181383846,-0.10467574983297995,False,False
H-Optimus-0,h4->h0,0.3516882677974385,0.2163250959239347,-0.1353631718735038,False,False
H-Optimus-0,h4->h1,0.29419934583210117,0.211884524662215,-0.08231482116988617,False,False
H-Optimus-0,h4->h2,0.3461705531626527,0.1907915142298765,-0.15537903893277621,False,False
H-Optimus-0,h4->h3,0.3436601717037844,0.1399118067288428,-0.2037483649749416,False,False
MIDNIGHT,h0->h1,0.2146650844395007,0.0814149729121818,-0.1332501115273189,False,False
MIDNIGHT,h0->h2,0.2039569385655133,0.0671959467765143,-0.136760991788999,False,False
MIDNIGHT,h0->h3,0.18476359655779398,0.0643588391849777,-0.12040475737281628,False,False
MIDNIGHT,h0->h4,0.2507663105843068,0.1171997362328856,-0.13356657435142122,False,False
