probe,model,pair,fraction,seed,auroc,ece_fixed,ece_scaled_fixed,degeneracy_share
linear,CLIP,CRC->BRACS,0.1,123,0.6326555313483417,0.2161339765967536,0.2356853204941015,0.5508771929824562
linear,CLIP,CRC->BRACS,0.1,456,0.6307643427741467,0.222464935088624,0.2412109408084237,0.5631578947368421
linear,CLIP,CRC->BRACS,0.25,42,0.6552741466957153,0.1972612649500099,0.2298288880748938,0.5210526315789473
linear,CLIP,CRC->BRACS,0.25,123,0.6551682401355603,0.2307564802606402,0.2641171707230974,0.5631578947368421
linear,CLIP,CRC->BRACS,0.25,456,0.6575133139675623,0.2298119798103096,0.2532025098338263,0.5614035087719298
linear,CLIP,CRC->BRACS,0.5,42,0.6567870975550715,0.2016994466116183,0.2463026602093258,0.5210526315789473
linear,CLIP,CRC->BRACS,0.5,123,0.657936940208182,0.2285563660709831,0.2596516369183577,0.5263157894736842
linear,CLIP,CRC->BRACS,0.5,456,0.6679375453885258,0.2028746797556512,0.2365418450200486,0.5157894736842106
linear,CLIP,CRC->BRACS,1.0,42,0.6608115468409586,0.2044353178610055,0.2507175096256971,0.5298245614035088
linear,CLIP,CRC->BRACS,1.0,123,0.6608115468409586,0.2044353178610055,0.2507175096256971,0.5298245614035088
linear,CLIP,CRC->BRACS,1.0,456,0.6608115468409586,0.2044353178610055,0.2507175096256971,0.5298245614035088
linear,CLIP,MHIST->PCam,0.01,42,0.657166615877912,0.2104078697032808,0.1746206674917361,1.0
linear,CLIP,MHIST->PCam,0.01,123,0.6923560497367621,0.2384641388766032,0.1787202959889722,1.0
linear,CLIP,MHIST->PCam,0.01,456,0.378979461528337,0.2537205198270457,0.2246984833837223,1.0
linear,CLIP,MHIST->PCam,0.05,42,0.4806156886747805,0.2365149959710938,0.2346461118491234,1.0
linear,CLIP,MHIST->PCam,0.05,123,0.6714162226743807,0.2325962884017986,0.2292283574896187,1.0
linear,CLIP,MHIST->PCam,0.05,456,0.6279380499160455,0.2365673438847364,0.2258816502300402,1.0
linear,CLIP,MHIST->PCam,0.1,42,0.4685252977823451,0.2661749846603147,0.3009348778306132,1.0
linear,CLIP,MHIST->PCam,0.1,123,0.5924539455407982,0.248390572121635,0.2638328294426363,1.0
linear,CLIP,MHIST->PCam,0.1,456,0.4778700635419529,0.2389476861886864,0.2455928594275209,1.0
linear,CLIP,MHIST->PCam,0.25,42,0.5390855536430781,0.267573762344999,0.3089283008435852,1.0
linear,CLIP,MHIST->PCam,0.25,123,0.6463209639106959,0.2663815153539075,0.3136474208459764,1.0
linear,CLIP,MHIST->PCam,0.25,456,0.599046764348788,0.2485760887834326,0.2886225450977752,1.0
linear,CLIP,MHIST->PCam,0.5,42,0.6327393949189422,0.2890848940656891,0.3359749867552438,0.9998779296875
linear,CLIP,MHIST->PCam,0.5,123,0.5770402747205401,0.2975182036206467,0.3559287746541284,0.999847412109375
linear,CLIP,MHIST->PCam,0.5,456,0.6324337571459044,0.2934251928627429,0.3474895321952329,1.0
linear,CLIP,MHIST->PCam,1.0,42,0.6281318991574014,0.3117107328497158,0.3690910565960988,0.99932861328125
linear,CLIP,MHIST->PCam,1.0,123,0.6281318991574014,0.3117107328497158,0.3690910565960988,0.99932861328125
linear,CLIP,MHIST->PCam,1.0,456,0.6281318991574014,0.3117107328497158,0.3690910565960988,0.99932861328125
linear,CLIP,PCam->MHIST,0.01,42,0.4690077435620385,0.2159478932478513,0.2672462413525294,0.7001023541453428
linear,CLIP,PCam->MHIST,0.01,123,0.4588060507833604,0.2046810307417849,0.2593656876245575,0.6560900716479018
linear,CLIP,PCam->MHIST,0.01,456,0.4331847649918963,0.2032342345491354,0.2548453952838307,0.6397134083930399
linear,CLIP,PCam->MHIST,0.05,42,0.4637718350441203,0.2007439711796373,0.2310065472324152,0.5312180143295804
linear,CLIP,PCam->MHIST,0.05,123,0.4660633891590131,0.2042192625641524,0.2367706886215868,0.5527123848515865
linear,CLIP,PCam->MHIST,0.05,456,0.4571132721051684,0.2038254252106077,0.2326597550784145,0.5076765609007164
linear,CLIP,PCam->MHIST,0.1,42,0.4734152710246713,0.2182825771555699,0.2351111128057879,0.5322415557830092
linear,CLIP,PCam->MHIST,0.1,123,0.4742796686475778,0.2221911857758215,0.2438333143603022,0.5435005117707267
linear,CLIP,PCam->MHIST,0.1,456,0.4728209976589231,0.197279423486916,0.2330537887814057,0.6202661207778914
linear,CLIP,PCam->MHIST,0.25,42,0.4653340536646857,0.234163322163104,0.239783298701068,0.6990788126919141
linear,CLIP,PCam->MHIST,0.25,123,0.4768728615162975,0.227025092436899,0.2349768259471839,0.6888433981576254
linear,CLIP,PCam->MHIST,0.25,456,0.4641320007203314,0.2370956464654081,0.2439674435699872,0.7267144319344934
linear,CLIP,PCam->MHIST,0.5,42,0.4667432018728615,0.261645422455886,0.2570723296903558,0.8014329580348004
linear,CLIP,PCam->MHIST,0.5,123,0.4652485143165856,0.2619266825139141,0.2622945811690627,0.7584442169907881
linear,CLIP,PCam->MHIST,0.5,456,0.4699486763911399,0.2487795962911621,0.2501839453854019,0.6929375639713409
linear,CLIP,PCam->MHIST,1.0,42,0.4839366108409868,0.2509820835868923,0.2464218207701523,0.7072671443193449
