model,dataset,fraction,seed,n_train,n_classes,auroc,f1_macro,f1_binary,brier,ece_fixed,ece_adaptive,temperature,ece_scaled_fixed,ece_scaled_adaptive,degeneracy_share,degenerate,forced_classes
PLIP,LungHist700,0.01,123,7,7,0.7848062155443036,0.406537277910183,,,0.2844281476187944,0.2875383037358083,0.1000052749944835,0.1666968657005733,0.1713853565830979,0.2666666666666666,False,6
PLIP,LungHist700,0.01,456,7,7,0.7780854276626792,0.3917540929415244,,,0.2719776962610156,0.2725983371217848,0.1000052749944835,0.1489177065027813,0.1658151151321726,0.3714285714285714,False,6
PLIP,LungHist700,0.05,42,22,7,0.8267458914434879,0.0574466184222281,,,0.2186625384468333,0.2407484315141975,0.3713645353990369,0.2737960545147901,0.2846682080034092,0.9809523809523808,False,0
PLIP,LungHist700,0.05,123,22,7,0.8489692456316312,0.0457142857142857,,,0.2098602954564341,0.2464001526596014,0.3823230940029851,0.2748685465194734,0.271732740225838,1.0,True,0
PLIP,LungHist700,0.05,456,22,7,0.8666975887097168,0.0778377466689155,,,0.2118711715683237,0.2118711715683237,0.3969944937566198,0.258981213455609,0.2488321477556697,0.961904761904762,False,0
PLIP,LungHist700,0.1,42,45,7,0.8659669212375893,0.261595547309833,,,0.1349196246800622,0.1756634377342572,0.295908358631144,0.1527336474677798,0.1843339577968906,0.6095238095238096,False,0
PLIP,LungHist700,0.1,123,45,7,0.8722063586226279,0.1912359495769633,,,0.1147234165762856,0.1986153628287621,0.327757389082159,0.2062209054494462,0.2357528429715502,0.6952380952380952,False,0
PLIP,LungHist700,0.1,456,45,7,0.8901052021821966,0.3226000889866435,,,0.1946112014374533,0.2320594476216982,0.2729273651640178,0.1405667906752268,0.1160023774826629,0.5428571428571428,False,0
PLIP,LungHist700,0.25,42,118,7,0.8863909635831752,0.4036626305533869,,,0.2002655768947462,0.22688720123486,0.2872021855821866,0.1426985863992182,0.1422403640312971,0.4285714285714285,False,0
PLIP,LungHist700,0.25,123,118,7,0.8822323143551426,0.4555689398789919,,,0.2312586720085378,0.2656863867583904,0.2950290853428721,0.1825490638495925,0.1507104452480808,0.4,False,0
