probe,model,dataset,fraction,seed,n_train,n_classes,hidden,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature,ece_scaled_fixed,ece_scaled_adaptive,degeneracy_share,forced_classes,degenerate
mlp,CONCH,PCam,0.01,123,2620,2,256,0.9563198903935948,0.8908452508590992,0.0802566820175695,0.0182965691337813,0.0180357054419175,1.0043752126994785,0.0181691021092546,0.0179619621766988,0.527679443359375,0,False
mlp,CONCH,PCam,0.01,456,2620,2,256,0.9619310875781748,0.9000869315454634,0.0741581705105603,0.0107138217299507,0.0131216618347167,1.0577426423600689,0.015663670643903,0.0163314155716989,0.524200439453125,0,False
mlp,CONCH,PCam,0.05,42,13106,2,256,0.9645651383835516,0.898328002908668,0.0731618564425556,0.0291781708256166,0.0292270764447763,1.0072020432537137,0.0290359070128261,0.0290781653821952,0.540740966796875,0,False
mlp,CONCH,PCam,0.05,123,13106,2,256,0.965427923224748,0.9004103196875576,0.0722870134282765,0.0267475049007543,0.026853090530345,1.032533327260091,0.0262286820616281,0.0262636991169458,0.53631591796875,0,False
mlp,CONCH,PCam,0.05,456,13106,2,256,0.9655611526686568,0.900935888345965,0.0716979302143514,0.0245042612019687,0.0251701401050397,1.0378153278419016,0.0236017973265347,0.0241411524422048,0.53955078125,0,False
mlp,CONCH,PCam,0.1,42,26214,2,256,0.9649166233126616,0.8945124346760764,0.0758064219014977,0.0446417178388856,0.0447861196774539,1.0536876143141984,0.0435967574986193,0.0436653596308715,0.555206298828125,0,False
mlp,CONCH,PCam,0.1,123,26214,2,256,0.9644327787950864,0.8970336449213725,0.0738151995501733,0.0303881663150491,0.0308204671475493,1.071523543087506,0.0289922894992287,0.0291168880159062,0.541961669921875,0,False
mlp,CONCH,PCam,0.1,456,26214,2,256,0.9653887443395274,0.898293293580261,0.0733876085130537,0.0313932945779242,0.0320088285070951,1.0271532271892887,0.0307863603128453,0.0312868018619454,0.544708251953125,0,False
mlp,CONCH,PCam,0.25,42,65536,2,256,0.9643012071056634,0.893536575442571,0.0766933399141856,0.0439669960384207,0.0440030216297913,1.0425206726083804,0.0431012994596926,0.0431012667330819,0.55743408203125,0,False
mlp,CONCH,PCam,0.25,123,65536,2,256,0.962939048871448,0.8990892359823301,0.0740158243071462,0.0235697372992262,0.0240009628298523,1.0524598422225822,0.0224204970613186,0.0226396978552188,0.537261962890625,0,False
mlp,CONCH,PCam,0.25,456,65536,2,256,0.9654284652545856,0.900096702723219,0.0711433698675672,0.0137018916319107,0.0135697894836894,1.034302694074591,0.0127241565144231,0.0128601486658794,0.52813720703125,0,False
mlp,CONCH,PCam,0.5,42,131072,2,256,0.962968517785733,0.8950541878817888,0.0769089988480328,0.0406301836375178,0.0409147042314046,1.0714592271255712,0.0391452610766691,0.0392694312296413,0.5533447265625,0,False
mlp,CONCH,PCam,0.5,123,131072,2,256,0.9631002161350496,0.899176476005744,0.0746500180148441,0.0324797627391717,0.0328245343198538,1.0731915676079753,0.0309804842765402,0.0311763913919307,0.54510498046875,0,False
mlp,CONCH,PCam,0.5,456,131072,2,256,0.9624843789701708,0.8927278214000166,0.0791010784725766,0.0494191852990297,0.0496627795468676,1.0951187671948608,0.0475875760346298,0.0476288834382359,0.560821533203125,0,False
mlp,CONCH,PCam,1.0,42,262144,2,256,0.9633650060925084,0.890094431593059,0.0789543814281354,0.0507356565140071,0.0507795964802042,1.074278053197001,0.0492989070762632,0.0492989253504063,0.56298828125,0,False
mlp,CONCH,PCam,1.0,123,262144,2,256,0.9675092730967492,0.9018938264672413,0.0707258933147925,0.0295020334284004,0.029502050283682,1.0232590865009306,0.0290100455099491,0.0291776002882357,0.54205322265625,0,False
mlp,CONCH,PCam,1.0,456,262144,2,256,0.9594651014126464,0.8914272827918637,0.0801955048556899,0.0429631033160831,0.0432157673414685,1.111381751619025,0.040481843380121,0.0405026138538673,0.557159423828125,0,False
mlp,CONCH,SPIDER-Breast,0.01,42,682,18,256,0.975141492443145,0.6807221688120867,,0.0469505461519474,0.0467795055654925,1.050206994809234,0.0352038005105339,0.0362284960631062,0.1192454711650324,0,False
mlp,CONCH,SPIDER-Breast,0.01,123,682,18,256,0.9738504601051085,0.68598633130167,,0.0314738972984577,0.0313720699509295,1.003234056741049,0.0307118130461785,0.0306283631172413,0.1248130297490443,0,False
mlp,CONCH,SPIDER-Breast,0.01,456,682,18,256,0.9697209795498156,0.6661539277462318,,0.0286210023717407,0.0292968006972678,0.9911516858974267,0.0309394611429886,0.0314788083207355,0.107777962439754,0,False
mlp,CONCH,SPIDER-Breast,0.05,42,3431,18,256,0.9860422846132106,0.7663957233362019,,0.0153398056134881,0.0185506871387731,0.9541527405109586,0.022022013309015,0.0222672384002586,0.1194947648329732,0,False
mlp,CONCH,SPIDER-Breast,0.05,123,3431,18,256,0.9848104105657326,0.7495687725675084,,0.0211810310288721,0.0199631090420354,0.9563809162715052,0.0286184188318406,0.0284759810602068,0.116752534485624,0,False
mlp,CONCH,SPIDER-Breast,0.05,456,3431,18,256,0.985512275500836,0.765775624493342,,0.0132459668086299,0.0129494680773088,0.9268942138586548,0.0206361115672213,0.0204806566035329,0.1222369951803224,0,False
mlp,CONCH,SPIDER-Breast,0.1,42,6868,18,256,0.9888466792724416,0.7898005420519197,,0.0090222904699792,0.0079555042646484,0.9064001722705728,0.0211214110891704,0.0220231688337625,0.1220707994016952,0,False
mlp,CONCH,SPIDER-Breast,0.1,123,6868,18,256,0.9884870961546098,0.775555057256829,,0.0131653018700674,0.0137577756746516,0.8966423821033981,0.0313672541888504,0.0308931672644412,0.1189961774970915,0,False
mlp,CONCH,SPIDER-Breast,0.1,456,6868,18,256,0.9883054339736614,0.7893754540461607,,0.0111220039616733,0.0102419951998436,0.88945382012862,0.0240776630355924,0.0244939476350662,0.1242313445238491,0,False
mlp,CONCH,SPIDER-Breast,0.25,42,17176,18,256,0.9906539663174924,0.8080443553975102,,0.0096037087372931,0.0097658222416458,0.8540837128268177,0.0284024157584733,0.0285393520013347,0.1226524846268904,0,False
mlp,CONCH,SPIDER-Breast,0.25,123,17176,18,256,0.990670655232398,0.8080167037645718,,0.0098168736198959,0.0094083650416861,0.8463231238157057,0.0314813892355348,0.0304837258294588,0.1240651487452218,0,False
mlp,CONCH,SPIDER-Breast,0.25,456,17176,18,256,0.9909806832253536,0.819457216739497,,0.0077522889804915,0.00727380476601,0.8321853338864081,0.030118626199857,0.0273145201774021,0.1246468339704171,0,False
mlp,CONCH,SPIDER-Breast,0.5,42,34361,18,256,0.990853645895591,0.8196467769850461,,0.0071813806641313,0.0083425563297458,0.8095342137217229,0.0306453116514248,0.030658924811917,0.1229017782948313,0,False
mlp,CONCH,SPIDER-Breast,0.5,123,34361,18,256,0.991490112124985,0.8212457162042173,,0.0041419853943416,0.0064842899648656,0.7955100298360023,0.0323414277258715,0.0317200799211822,0.1238989529665946,0,False
mlp,CONCH,SPIDER-Breast,0.5,456,34361,18,256,0.9915661633456404,0.8266861575644964,,0.0056213115908308,0.0083249153559125,0.8028206675503796,0.0275285187387398,0.0275635257851191,0.1237327571879674,0,False
mlp,CONCH,SPIDER-Breast,1.0,42,68730,18,256,0.9917699536717096,0.8298831896939074,,0.0090953081509432,0.0086714753394153,0.7672027976578146,0.0313391351132213,0.0313455004648094,0.123815855077281,0,False
mlp,CONCH,SPIDER-Breast,1.0,123,68730,18,256,0.991824655557444,0.8196075854092106,,0.0070247057146144,0.0081343062448604,0.7689171876094998,0.0366563322720623,0.0364787050194571,0.1238989529665946,0,False
mlp,CONCH,SPIDER-Breast,1.0,456,68730,18,256,0.991799077459424,0.8280383195934924,,0.0093131792694899,0.0106803165736023,0.7716402830067471,0.0301355757370271,0.0293968826066779,0.1229848761841449,0,False
mlp,GigaPath,BRACS,0.01,42,33,7,256,0.7495458152526345,0.3396983817379574,,0.1068250091975195,0.11570983267667,1.333878216810125,0.0818274866854935,0.0881191788535369,0.2894736842105263,0,False
mlp,GigaPath,BRACS,0.01,123,33,7,256,0.7562696761414932,0.3478433041718904,,0.114988087797374,0.1242573857307434,1.5379504357570604,0.0686786499724053,0.0830426738450401,0.4035087719298245,0,False
mlp,GigaPath,BRACS,0.01,456,33,7,256,0.7968842238747403,0.3869158700819323,,0.1133268771987212,0.1112872856750823,1.229873558355021,0.0761231519412576,0.0891923863113972,0.3210526315789473,0,False
mlp,GigaPath,BRACS,0.05,42,180,7,256,0.8608191866196809,0.4975863753504742,,0.0828512079360192,0.083609191994918,1.0085508719191478,0.0838063368933242,0.0807672830004441,0.2298245614035087,0,False
mlp,GigaPath,BRACS,0.05,123,180,7,256,0.860183138472044,0.5384933788963963,,0.0675089349349339,0.0798431124603539,1.005169967642046,0.0691021048708965,0.0791406896030693,0.1964912280701754,0,False
mlp,GigaPath,BRACS,0.05,456,180,7,256,0.8802022988746817,0.551280309329551,,0.057235264229147,0.067213365487885,1.051054064813053,0.0546604105777907,0.0598377367906403,0.2263157894736842,0,False
mlp,GigaPath,BRACS,0.1,42,362,7,256,0.8751962140369604,0.542172057392895,,0.094133045746569,0.0918448721107683,1.0673813939501122,0.0783601971049057,0.0791670873499753,0.1912280701754386,0,False
mlp,GigaPath,BRACS,0.1,123,362,7,256,0.8828523783233988,0.5647087868618358,,0.045555545311225,0.0558659962394781,0.9681016603710404,0.0498029022363194,0.0547523785055729,0.1929824561403508,0,False
mlp,GigaPath,BRACS,0.1,456,362,7,256,0.8873951315409322,0.5854332795388716,,0.0811264758047304,0.0821560899416605,1.0653770681918666,0.0709392972944075,0.069206436475118,0.2,0,False
mlp,GigaPath,BRACS,0.25,42,912,7,256,0.8978861206247081,0.5950425807264246,,0.0949038686982372,0.0773318807284037,1.06902633502403,0.0681666026512781,0.0611336412137014,0.1736842105263158,0,False
mlp,GigaPath,BRACS,0.25,123,912,7,256,0.8986371352449289,0.5985553905186954,,0.0889849750096337,0.0870483758156759,1.0421675466151812,0.0786406357037393,0.0735423437336035,0.1929824561403508,0,False
mlp,GigaPath,BRACS,0.25,456,912,7,256,0.892461878306384,0.5833099214307336,,0.0798847342530886,0.0836029961443784,1.0274911457863436,0.0727700338290448,0.080932942503377,0.1807017543859649,0,False
mlp,GigaPath,BRACS,0.5,42,1826,7,256,0.9044072781857144,0.6075116150041444,,0.0892345415395603,0.0891348167469626,1.106419206584942,0.0736159461109261,0.0665104126721097,0.1666666666666666,0,False
mlp,GigaPath,BRACS,0.5,123,1826,7,256,0.904419165461654,0.6151240671814409,,0.0640349671506044,0.0677590374361004,1.0309690167252166,0.0559366477686062,0.0610558414668367,0.1807017543859649,0,False
mlp,GigaPath,BRACS,0.5,456,1826,7,256,0.8977634625355864,0.5931633024063553,,0.0700403776085167,0.0719238033420161,0.9930273968172072,0.0711743917381554,0.0729704464736737,0.175438596491228,0,False
mlp,GigaPath,BRACS,1.0,42,3657,7,256,0.9062863360829236,0.6306727308367536,,0.0985004399429287,0.0913088848716334,1.093892970168555,0.0682420511779032,0.0704283323204308,0.175438596491228,0,False
mlp,GigaPath,BRACS,1.0,123,3657,7,256,0.9042752621460308,0.6128539645353994,,0.0999955376512126,0.0975001050714861,1.088183808850293,0.083373602597337,0.0770500982016847,0.1771929824561403,0,False
mlp,GigaPath,BRACS,1.0,456,3657,7,256,0.9054133165564816,0.6101814155662991,,0.1000502111618979,0.104354968510176,1.08899788247189,0.0840801098890471,0.0834901382002914,0.1789473684210526,0,False
mlp,GigaPath,CRC,0.01,42,696,9,256,0.9993535453062532,0.984669137937577,,0.0147483994712431,0.0145894040743509,0.7786976708572106,0.0019961186289787,0.002322325750192,0.1445333333333333,0,False
mlp,GigaPath,CRC,0.01,123,696,9,256,0.9996087063884374,0.9860056921158404,,0.0166076343417167,0.0166076265652974,0.7475499846176477,0.0016893542806307,0.0013793639143307,0.141,0,False
mlp,GigaPath,CRC,0.01,456,696,9,256,0.999441950707588,0.9824506482980974,,0.0171905593176683,0.0170888511021931,0.7387807280139504,0.0024249407986799,0.0018171734611193,0.1413333333333333,0,False
mlp,GigaPath,CRC,0.05,42,3495,9,256,0.9996013101926216,0.991002399279692,,0.0050692515154679,0.0049941989064216,0.8393340978567476,0.0021066877245902,0.0007424623727798,0.1419333333333333,0,False
mlp,GigaPath,CRC,0.05,123,3495,9,256,0.9997230456707368,0.9896466867034096,,0.0058192441900571,0.0042442080418268,0.8552888291135722,0.0019753088355063,0.0018673687934875,0.1406,0,False
mlp,GigaPath,CRC,0.05,456,3495,9,256,0.999613964617018,0.9906940386337196,,0.0062162209610144,0.0065177930275599,0.8105612858892652,0.001826901413997,0.001364427725474,0.1419333333333333,0,False
mlp,GigaPath,CRC,0.1,42,6996,9,256,0.9997127569337876,0.9927777322838822,,0.0046088624556859,0.0041898103634516,0.824346441875214,0.001375652060906,0.0007589486161867,0.1412,0,False
mlp,GigaPath,CRC,0.1,123,6996,9,256,0.9998412751247536,0.9939986574397638,,0.0056011690517266,0.0055567153612772,0.8141602525647358,0.0011331355253855,0.0010795846700668,0.1412,0,False
mlp,GigaPath,CRC,0.1,456,6996,9,256,0.9996702959689314,0.9932623312241664,,0.0047243508736292,0.0048712881485621,0.816590440666474,0.0007025637666384,0.0007482441981633,0.1411333333333333,0,False
mlp,GigaPath,CRC,0.25,42,17496,9,256,0.9999022366532818,0.9942140446739178,,0.0035576917390028,0.0028496533195177,0.8064908849278615,0.0021049952805042,0.0009384092966715,0.1412666666666666,0,False
mlp,GigaPath,CRC,0.25,123,17496,9,256,0.9999444627743738,0.995215017875003,,0.0050067133307456,0.0046997890750567,0.7228012395208018,0.0012446184198061,0.0003864605665206,0.1415333333333333,0,False
mlp,GigaPath,CRC,0.25,456,17496,9,256,0.9999396794740868,0.995149586250238,,0.0047342992842197,0.0040467821478843,0.7819868872462833,0.0011137075086434,0.0003149816910425,0.1416666666666666,0,False
mlp,GigaPath,CRC,0.5,42,34998,9,256,0.9999465282110204,0.9953362260691404,,0.0047128366728623,0.0043321278452873,0.6941170674020188,0.0011938688258329,0.0007380347172419,0.1416666666666666,0,False
mlp,GigaPath,CRC,0.5,123,34998,9,256,0.9999609596905684,0.9957586834540358,,0.0047091028670469,0.0042976837436358,0.6958219577607072,0.0009431790928045,0.0005903751889864,0.1422,0,False
mlp,GigaPath,CRC,0.5,456,34998,9,256,0.9999678841595296,0.9957227358351136,,0.0043066002845764,0.0041110775073369,0.7618345972112183,0.0011685960054397,0.0002643385966618,0.1412,0,False
mlp,GigaPath,CRC,1.0,42,70000,9,256,0.9999778923325312,0.9965226775372996,,0.0051249467293421,0.0050053519527117,0.6823051197074738,0.0009228848695755,0.0001772318283716,0.1418,0,False
mlp,GigaPath,CRC,1.0,123,70000,9,256,0.9999765469601528,0.9963202691930118,,0.0043816135644912,0.0042971806446711,0.7138784233687429,0.0006582047224044,0.0001483894546826,0.1419333333333333,0,False
mlp,GigaPath,CRC,1.0,456,70000,9,256,0.9999680070564262,0.9959294259455423,,0.0042255877216656,0.0038139359394709,0.7027799927602157,0.0008407783826192,0.0007802782694498,0.1417333333333333,0,False
mlp,GigaPath,LungHist700,0.01,42,7,7,256,0.6474957602836986,0.306477808142187,,0.1311690587373007,0.168952866821062,0.9916424414123516,0.1303506645418349,0.1683039381390526,0.3333333333333333,6,False
mlp,GigaPath,LungHist700,0.01,123,7,7,256,0.6944652242312795,0.2378077685107814,,0.2055968063218253,0.1839079695088522,1.515591189018518,0.1249943510407493,0.1272452851136525,0.3047619047619048,6,False
mlp,GigaPath,LungHist700,0.01,456,7,7,256,0.6971014198379979,0.3132446269427378,,0.2350690716788882,0.2440964620737802,1.0635089662564283,0.2204156943729945,0.2477275233893167,0.3523809523809524,6,False
