probe,model,src,tgt,pair,fraction,seed,n_train,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature_src,ece_scaled_fixed,ece_scaled_adaptive,degeneracy_share,degenerate
mlp,H-Optimus-0,MHIST,PCam,MHIST->PCam,1.0,456,1849,0.6460025763292844,0.3394402806167512,0.4787278935401696,0.4792685156396317,0.4783553791745985,1.122237874171907,0.4744971888295026,0.4738434843706161,0.993927001953125,True
mlp,H-Optimus-0,PCam,MHIST,PCam->MHIST,0.01,42,2620,0.5610165676211056,0.3870765370138017,0.3457422956043233,0.337360655549559,0.3354318217005477,0.9612546439978964,0.3404565577070203,0.3389348177822686,1.0,True
mlp,H-Optimus-0,PCam,MHIST,PCam->MHIST,0.01,123,2620,0.5744192328471097,0.3870765370138017,0.3356302123872993,0.3222095471184353,0.3170726753698858,1.0695314973541832,0.3133922870382438,0.3083907696060996,1.0,True
mlp,H-Optimus-0,PCam,MHIST,PCam->MHIST,0.01,456,2620,0.6305465514136502,0.3900896060152363,0.3347731059645472,0.3255413270468691,0.3255413300314863,1.1610635704568666,0.309945523071588,0.3078942812784759,0.9989764585465712,True
mlp,H-Optimus-0,PCam,MHIST,PCam->MHIST,0.05,42,13106,0.5655771654961282,0.3870765370138017,0.3422544331602458,0.3341943933232902,0.3314607539771843,1.0611042995481872,0.3280540925232329,0.3251648508088554,1.0,True
mlp,H-Optimus-0,PCam,MHIST,PCam->MHIST,0.05,123,13106,0.5734062668827661,0.3870765370138017,0.3394439524689006,0.3306179073169263,0.3288954549689253,1.0961828350423113,0.318932704932553,0.3181154385224335,1.0,True
mlp,H-Optimus-0,PCam,MHIST,PCam->MHIST,0.05,456,13106,0.6061993517017827,0.3900896060152363,0.3250031012329619,0.3096659350244208,0.308727175935325,1.0095415661468097,0.3083911826881745,0.3074516246158214,0.9989764585465712,True
mlp,H-Optimus-0,PCam,MHIST,PCam->MHIST,0.1,42,26214,0.5765757248334233,0.3870765370138017,0.3406408550543827,0.3307179239756802,0.3303231694454379,1.1437724394546749,0.3148147668250995,0.3148147642341735,1.0,True
mlp,H-Optimus-0,PCam,MHIST,PCam->MHIST,0.1,123,26214,0.6571267783180263,0.3986241023474745,0.3114637747271512,0.3013339089830248,0.2995692461113252,1.1563579483982334,0.2823811492433689,0.2797430714491293,0.9948822927328556,True
mlp,H-Optimus-0,PCam,MHIST,PCam->MHIST,0.1,456,26214,0.6213623266702684,0.3896971043060607,0.3219459030952223,0.3060144677781095,0.3055142031118899,1.0667080232870465,0.2966413108504233,0.296641312348928,0.9979529170931424,True
mlp,H-Optimus-0,PCam,MHIST,PCam->MHIST,0.25,42,65536,0.6256798127138484,0.3922869583246942,0.3255143314808702,0.3134953191021539,0.3121323725475549,1.1780196826815414,0.2913102269050653,0.2899970087292342,0.9959058341862844,True
mlp,H-Optimus-0,PCam,MHIST,PCam->MHIST,0.25,123,65536,0.6166261480280929,0.3896971043060607,0.3292069231219968,0.3184555400059984,0.3182005097721622,1.1552938885165365,0.2996380026762049,0.2994169509924849,0.9979529170931424,True
