model,dataset,fraction,auroc_old,ece_old,auroc_new,ece_new,d_auroc,d_ece
CLIP,SPIDER-Breast,0.5,0.9570549251475561,0.1559555836312471,0.957221580126265,0.15613581578563548,0.00016665497870893553,0.00018023215438839335
CLIP,SPIDER-Breast,1.0,0.9639805733706058,0.12621864377108513,0.964099551574733,0.1268344182114173,0.00011897820412720694,0.000615774440332173
CONCH,BRACS,0.01,0.8331426413829757,0.12717445021346052,0.8228733676688282,0.16164629606804734,-0.010269273714147431,0.03447184585458682
CONCH,BRACS,0.05,0.8833508135675482,0.138840397144845,0.8733554055338645,0.13079222170367327,-0.009995408033683706,-0.008048175441171729
CONCH,BRACS,0.1,0.8901220875584152,0.10418972982619656,0.8854227171060987,0.11023268188153747,-0.004699370452316498,0.006042952055340903
CONCH,BRACS,0.25,0.8982913777118595,0.068494946465246,0.8955076003414884,0.07375914823073704,-0.0027837773703711655,0.005264201765491042
CONCH,BRACS,0.5,0.9016416204694128,0.04718694020530456,0.9013650345497082,0.060247341167649994,-0.0002765859197045861,0.013060400962345432
CONCH,BRACS,1.0,0.9046904324226631,0.02982466603114743,0.9046904324226631,0.0298246660233517,0.0,-7.795732809290357e-12
CONCH,CRC,0.01,0.9981102348212884,0.18831520537734,0.9981233307190734,0.19141131362935523,1.3095897785087018e-05,0.0030961082520152283
CONCH,CRC,0.05,0.9986960754214381,0.0690202139419633,0.998732770776923,0.07126407786965276,3.6695355484894776e-05,0.0022438639276894656
CONCH,CRC,0.1,0.9989033131613613,0.044968274269259305,0.9989266883888851,0.046510310095635436,2.337522752382526e-05,0.0015420358263761313
CONCH,CRC,0.25,0.9991577926897733,0.027392735964029,0.9991411443761807,0.027067505058870133,-1.6648313592604325e-05,-0.00032523090515886727
CONCH,CRC,0.5,0.9993179112414285,0.0192168323797353,0.9993184120077365,0.019023227087080735,5.007663079759084e-07,-0.00019360529265456325
CONCH,CRC,1.0,0.9994136787146107,0.013304782490951466,0.9994136787146107,0.0133047824909334,0.0,-1.8067145002298446e-14
CONCH,LungHist700,0.01,0.8630391844458026,0.32832815766082396,0.872882254934691,0.3314755818473539,0.009843070488888328,0.0031474241865299124
CONCH,LungHist700,0.05,0.9068458293980591,0.17393400103282422,0.92141144144803,0.24416182910451378,0.014565612049970866,0.07022782807168956
CONCH,LungHist700,0.1,0.9399848057002456,0.1894569065613576,0.9323496096378457,0.2779064631937607,-0.007635196062399818,0.08844955663240311
CONCH,LungHist700,0.25,0.9580448708235636,0.2374207802590579,0.9494319415615903,0.2603413313887399,-0.008612929261973323,0.02292055112968197
CONCH,LungHist700,0.5,0.9630159986154728,0.24228589436374948,0.9604421304314342,0.2381687392217026,-0.002573868184038597,-0.0041171551420468855
CONCH,LungHist700,1.0,0.971386775329594,0.20836451760473418,0.971386775329594,0.2083645176047342,0.0,2.7755575615628914e-17
CONCH,MHIST,0.01,0.6864277567681133,0.15286848925534527,0.638273605858695,0.11865530210746417,-0.048154150909418325,-0.0342131871478811
CONCH,MHIST,0.05,0.7603067411009065,0.13736837235358146,0.7378053904796206,0.14069197030316496,-0.022501350621285887,0.0033235979495835066
CONCH,MHIST,0.1,0.7772645416891771,0.13497208765482369,0.7870760549852932,0.13547337842117296,0.00981151329611607,0.0005012907663492772
CONCH,MHIST,0.25,0.8170613482201813,0.11849430481918255,0.8184960081637552,0.11843934261746082,0.001434659943573946,-5.4962201721728277e-05
