model,hospital,fraction,seed,n_train,n_val_full,n_val_prop,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature,ece_scaled_fixed,ece_scaled_adaptive,temperature_prop,ece_scaled_prop,degeneracy_share,forced_classes,degenerate
CLIP,3,0.25,42,3500,3000,750,0.9782248888888888,0.9293181288775008,0.0610492341354213,0.0756194423902929,0.0752591009565066,1.0676883070594154,0.0174921252910717,0.0129492730558155,1.1477318632442832,0.0163523012939847,0.5146666666666667,0,False
CLIP,3,0.25,123,3500,3000,750,0.9787208888888888,0.9303215576765806,0.0610203469324975,0.0762665297534849,0.0741380381769308,1.047000486799529,0.018536702859351,0.0145590042644704,1.043623509505225,0.0180789694852597,0.513,0,False
CLIP,3,0.25,456,3500,3000,750,0.9782902222222222,0.9276531538835198,0.0610660251044063,0.0753303165097074,0.0733911706788571,1.0676111413248774,0.0155320038923777,0.0125798780998957,0.9604378984900288,0.0219655058948927,0.5136666666666667,0,False
CLIP,3,0.5,42,7000,3000,1500,0.9808244444444444,0.932327009668348,0.0547899181114439,0.0541665760952375,0.0529575566469505,1.2052878664141864,0.0149535067739359,0.0139861720482613,1.227284051430082,0.0127474602684216,0.5096666666666667,0,False
CLIP,3,0.5,123,7000,3000,1500,0.9814115555555556,0.9336542747595412,0.0543621355346806,0.0523666755259539,0.0503782767386901,1.1825283957477095,0.0131309949685523,0.0138670419026555,1.2007713373765403,0.0133909220165327,0.5136666666666667,0,False
CLIP,3,0.5,456,7000,3000,1500,0.9812995555555556,0.9316539011342008,0.0545777347036371,0.0538498038332885,0.0519991855459041,1.1772570107912927,0.0176883963390406,0.0140030636871793,1.1083336648810986,0.0167937129022061,0.5136666666666667,0,False
CLIP,3,1.0,42,14000,3000,3000,0.9840808888888888,0.9369893512003528,0.0490814730384833,0.0382522732043539,0.0372471703545146,1.2820399423473825,0.011243952881655,0.0114317048476945,1.2820399423473825,0.011243952881655,0.513,0,False
CLIP,3,1.0,123,14000,3000,3000,0.9840808888888888,0.9369893512003528,0.0490814730384833,0.0382522732043539,0.0372471703545146,1.2820399423473825,0.011243952881655,0.0114317048476945,1.2820399423473825,0.011243952881655,0.513,0,False
CLIP,3,1.0,456,14000,3000,3000,0.9840808888888888,0.9369893512003528,0.0490814730384833,0.0382522732043539,0.0372471703545146,1.2820399423473825,0.011243952881655,0.0114317048476945,1.2820399423473825,0.011243952881655,0.513,0,False
CLIP,4,0.01,42,140,3000,30,0.9625297777777776,0.894930782734537,0.1730377174528572,0.3061254818054679,0.3066168360716199,0.2564818503020823,0.0418613027129848,0.0446373961667949,0.1000052749944835,0.0767753713343441,0.5256666666666666,0,False
CLIP,4,0.01,123,140,3000,30,0.9635142222222222,0.8969486002518368,0.1717122227761854,0.3037940783480401,0.3054078914874944,0.2492947851534744,0.0354326462902081,0.0321826068251866,0.2285974351163225,0.0343956942250382,0.5223333333333333,0,False
CLIP,4,0.01,456,140,3000,30,0.9502511111111112,0.8708231569017986,0.1739673028245103,0.2794598826003487,0.2794155484440758,0.2947374147514165,0.0485733646136884,0.0491979900893652,0.2437346819154046,0.0515119501441254,0.537,0,False
CLIP,4,0.05,42,700,3000,150,0.9709933333333334,0.9139990444338272,0.1015743796750332,0.191379828804988,0.1888186965486832,0.5824733225878189,0.0293984005990794,0.0278368802751712,0.6905201180563404,0.0332423110035441,0.5033333333333333,0,False
CLIP,4,0.05,123,700,3000,150,0.9747142222222224,0.9183293314705754,0.0997300821446641,0.1982931233378212,0.198385892546148,0.5506834990878613,0.0301158650819124,0.0290686232665939,0.473748154041913,0.0319768128962205,0.507,0,False
CLIP,4,0.05,456,700,3000,150,0.9694857777777776,0.9129999129999128,0.1026892876876536,0.1885472991596341,0.1887338193367979,0.5916075485489947,0.0262380200083487,0.0269093302885904,0.5127743258180529,0.0284125934922699,0.501,0,False
CLIP,4,0.1,42,1400,3000,300,0.9760666666666666,0.92499759158933,0.0794694406535972,0.1477802735010723,0.1472625860538349,0.7260672384837001,0.0277717151843847,0.0242029157034104,0.8630553575188957,0.0279060764391072,0.5056666666666667,0,False
CLIP,4,0.1,123,1400,3000,300,0.9768835555555556,0.9276653083819018,0.078226107217369,0.1453281347753042,0.1458911944441393,0.726304701902721,0.0298391718527868,0.0253616613018565,0.7250639428597259,0.0294487915437349,0.5043333333333333,0,False
CLIP,4,0.1,456,1400,3000,300,0.9766897777777778,0.925994441360262,0.0791194828150956,0.1466373521963127,0.1468922867213024,0.7233584502247059,0.0276137394404283,0.0235541000908529,0.8026489647044756,0.0274466669955844,0.5086666666666667,0,False
