probe,model,dataset,fraction,auroc,f1_macro,ece_fixed,ece_scaled_fixed,temperature,degeneracy_share
linear,UNI,lunghist700,0.01,0.6688052536677555,0.3915721025228665,0.2441709110956362,0.06943052126486,0.1220117609023115,0.2666666666666666
linear,UNI,lunghist700,0.05,0.7631658263843945,0.1631551405987496,0.0779557425065535,0.1896875637927834,0.4456613252726919,0.8952380952380953
linear,UNI,lunghist700,0.05,0.8101947013240147,0.204836022866536,0.1638484801367132,0.2020385336991557,0.4106827764872916,0.7904761904761904
linear,UNI,lunghist700,0.05,0.8599099310484446,0.1275856054181177,0.1659399666380599,0.2471593223706933,0.2983754784131722,0.923809523809524
linear,UNI,lunghist700,0.1,0.8497558516949673,0.3221169634962738,0.1431486705630349,0.1839991069989001,0.3517825032826697,0.638095238095238
linear,UNI,lunghist700,0.1,0.8670866520038755,0.3502531024710983,0.1727495855297332,0.1157233565673707,0.3467389390596626,0.5619047619047619
linear,UNI,lunghist700,0.1,0.8880506457967015,0.3713026923783974,0.202680700265715,0.1676617564950899,0.2541364437269534,0.4761904761904761
linear,UNI,lunghist700,0.25,0.9100480885634414,0.5286520403774869,0.2778714368224667,0.1304597740993271,0.3287310510767761,0.4
linear,UNI,lunghist700,0.25,0.9288750309438883,0.5458589969563142,0.2855380797193932,0.1524476676531338,0.3082720791988156,0.3619047619047619
linear,UNI,lunghist700,0.25,0.9412733275504128,0.534679398946845,0.2889488420030299,0.1448729312336332,0.2599644346045033,0.2952380952380952
linear,UNI,lunghist700,0.5,0.9381056738060222,0.5760470118750823,0.2532683633332348,0.0938194529722564,0.3778239451951858,0.2952380952380952
linear,UNI,lunghist700,0.5,0.943984578124112,0.6851102033830445,0.3460075374219498,0.1374576030904606,0.3375840742242803,0.2952380952380952
linear,UNI,lunghist700,0.5,0.9521234381850098,0.6704481733604261,0.3331324056603683,0.0797394599933612,0.3528713674649517,0.2666666666666666
linear,UNI,lunghist700,1.0,0.9634073153799294,0.7534841628959276,0.3125866344121607,0.1217773263766061,0.422474222773102,0.238095238095238
linear,UNI,lunghist700,1.0,0.9634073153799294,0.7534841628959276,0.3125866344121607,0.1217773263766061,0.422474222773102,0.238095238095238
linear,UNI,lunghist700,1.0,0.9634073153799294,0.7534841628959276,0.3125866344121607,0.1217773263766061,0.422474222773102,0.238095238095238
linear,UNI,mhist,0.01,0.7426706284891049,0.3870765370138017,0.1336142312789968,0.1081071894164105,2.0864933110037587,1.0
linear,UNI,mhist,0.01,0.6134206735098146,0.3870765370138017,0.0897128999181361,0.0743304076741247,2.34346070691579,1.0
linear,UNI,mhist,0.01,0.722262740860796,0.3870765370138017,0.138656602507147,0.1075857261231694,2.262456740401722,1.0
linear,UNI,mhist,0.05,0.8069286871961102,0.3870765370138017,0.1655875441092864,0.1737803579994385,1.7338365923282095,1.0
linear,UNI,mhist,0.05,0.7631010264721771,0.3870765370138017,0.1350698346757744,0.1339284610005451,1.737931678180565,1.0
linear,UNI,mhist,0.05,0.7436115613182064,0.3870765370138017,0.114372215272157,0.1087234853991429,1.9110545463198847,1.0
linear,UNI,mhist,0.1,0.8117639113992436,0.5224156848501358,0.1462236425002273,0.1409546398981298,1.5907360609625212,0.9232343909928352
linear,UNI,mhist,0.1,0.8194084278768233,0.395663141889557,0.143925050317492,0.147455692277557,1.5309006558119838,0.9959058341862844
linear,UNI,mhist,0.1,0.8279128399063569,0.4136646918519658,0.1370367938983849,0.1404070904067469,1.5614999793253683,0.9907881269191402
linear,UNI,mhist,0.25,0.8464208535926527,0.6487686134049679,0.108525330153234,0.0994403933433831,1.461196553241426,0.827021494370522
linear,UNI,mhist,0.25,0.8456915180983253,0.6660138859444562,0.1121703814218891,0.103618624622735,1.449681989451734,0.8259979529170931
linear,UNI,mhist,0.25,0.8228435080136863,0.6620282691885766,0.0890232580744712,0.0983687580633727,1.4118546241935122,0.8393039918116684
